timestamp,car,speed_kmh,rpm,gear,throttle,brake,accel_ms2,jerk
1778049811.9462142,beam,0.14,734,1,0.0,0.0,2.461,155.848
1778049812.06303,beam,0.5,744,1,0.0,0.0,0.867,-13.645
1778049812.1676714,beam,0.77,744,1,0.0,0.0,0.696,-1.631
1778049812.2774162,beam,0.99,748,1,0.0,0.0,0.552,-1.313
1778049812.393076,beam,1.25,750,1,1.98,0.0,0.629,0.66
1778049812.5002446,beam,1.43,761,1,10.71,0.0,0.476,-1.428
1778049812.6097507,beam,1.75,989,1,21.83,0.0,0.803,2.986
1778049812.711274,beam,2.26,1244,1,25.4,0.0,1.391,5.796
1778049812.8163726,beam,3.08,1460,1,28.97,0.0,2.169,7.406
1778049812.9320037,beam,3.91,1601,1,30.16,0.0,2.007,-1.404
1778049813.0428176,beam,5.05,1708,1,31.74,0.0,2.856,7.658
1778049813.1435344,beam,6.05,1773,1,30.55,0.0,2.765,-0.899
1778049813.2465067,beam,6.99,1801,1,30.55,0.0,2.526,-2.318
1778049813.3650982,beam,8.11,1823,1,30.55,0.0,2.619,0.779
1778049813.477769,beam,9.28,1845,1,31.74,0.0,2.899,2.485
1778049813.5804436,beam,10.44,1868,1,31.74,0.0,3.118,2.132
1778049813.6948607,beam,11.59,1890,1,32.94,0.0,2.793,-2.84
1778049813.8017592,beam,12.59,1911,1,32.94,0.0,2.597,-1.831
1778049813.9098556,beam,13.63,1930,1,32.94,0.0,2.692,0.876
1778049814.0129168,beam,14.58,1948,1,33.73,0.0,2.543,-1.446
1778049814.1161766,beam,15.48,1965,1,33.33,0.0,2.424,-1.15
1778049814.2318048,beam,16.5,1984,1,33.33,0.0,2.445,0.183
1778049814.346364,beam,17.52,2002,1,33.73,0.0,2.473,0.246
1778049814.4615076,beam,18.48,2020,1,32.94,0.0,2.337,-1.179
1778049814.5788503,beam,19.32,2040,1,32.94,0.0,1.971,-3.125
1778049814.685702,beam,20.1,2062,1,32.94,0.0,2.042,0.67
1778049814.794316,beam,20.85,2083,1,32.54,0.0,1.923,-1.097
1778049814.9004056,beam,21.63,2105,1,32.54,0.0,2.024,0.946
1778049815.001812,beam,22.15,2128,1,32.54,0.0,1.443,-5.723
1778049815.1120977,beam,22.97,2159,1,33.33,0.0,2.061,5.599
1778049815.227463,beam,23.78,2193,1,32.54,0.0,1.952,-0.939
1778049815.3336332,beam,24.3,2224,2,32.54,0.0,1.351,-5.668
1778049815.444797,beam,24.7,2221,2,33.33,0.0,1.013,-3.04
1778049815.5503654,beam,25.07,2178,2,33.33,0.0,0.974,-0.367
1778049815.6644096,beam,25.44,2121,2,33.33,0.0,0.897,-0.677
1778049815.7806041,beam,25.76,2066,2,33.33,0.0,0.754,-1.229
1778049815.8839962,beam,26.07,2028,2,33.73,0.0,0.851,0.94
1778049815.994724,beam,26.76,2004,2,33.73,0.0,1.72,7.85
1778049816.0947747,beam,27.22,1994,2,33.73,0.0,1.268,-4.522
1778049816.1998188,beam,27.64,1989,2,33.73,0.0,1.109,-1.514
1778049816.3151288,beam,28.3,1989,2,33.73,0.0,1.6,4.258
1778049816.4299672,beam,28.88,1995,2,34.13,0.0,1.395,-1.779
1778049816.5305512,beam,29.34,2005,2,35.32,0.0,1.284,-1.113
1778049816.6464362,beam,29.82,2025,2,36.51,0.0,1.143,-1.21
1778049816.750278,beam,30.39,2040,2,36.51,0.0,1.516,3.593
1778049816.8605132,beam,30.88,2052,2,36.11,0.0,1.25,-2.421
1778049816.9680586,beam,31.36,2057,2,36.11,0.0,1.231,-0.175
1778049817.0816524,beam,31.89,2062,2,36.11,0.0,1.309,0.686
1778049817.183592,beam,32.39,2068,2,37.3,0.0,1.349,0.396
1778049817.3003325,beam,32.94,2082,2,37.3,0.0,1.317,-0.272
1778049817.4016533,beam,33.43,2092,2,37.3,0.0,1.343,0.255
1778049817.512207,beam,33.93,2098,2,36.51,0.0,1.246,-0.88
1778049817.6144245,beam,34.4,2098,2,35.71,0.0,1.295,0.482
1778049817.7147782,beam,34.84,2096,2,35.71,0.0,1.209,-0.856
1778049817.8316624,beam,35.36,2098,2,36.11,0.0,1.234,0.208
1778049817.9434679,beam,35.86,2105,2,36.11,0.0,1.241,0.07
1778049818.043984,beam,36.29,2112,2,36.11,0.0,1.178,-0.629
1778049818.1498404,beam,36.72,2118,2,36.11,0.0,1.144,-0.325
1778049818.2634077,beam,37.21,2125,2,36.11,0.0,1.183,0.348
1778049818.37687,beam,37.67,2132,2,36.11,0.0,1.142,-0.362
1778049818.5002916,beam,38.18,2140,2,36.11,0.0,1.137,-0.041
1778049818.6175191,beam,38.64,2147,2,36.11,0.0,1.09,-0.402
1778049818.7315528,beam,39.08,2153,2,35.32,0.0,1.077,-0.11
1778049818.8464005,beam,39.53,2154,2,35.32,0.0,1.092,0.127
1778049818.9499507,beam,39.9,2154,2,34.52,0.0,0.978,-1.098
1778049819.0600595,beam,40.3,2154,2,34.52,0.0,1.013,0.315
1778049819.1681714,beam,40.67,2160,2,35.32,0.0,0.964,-0.453
1778049819.2775795,beam,41.07,2172,2,35.32,0.0,1.02,0.516
1778049819.383685,beam,41.46,2182,2,35.32,0.0,1.003,-0.166
1778049819.4982657,beam,41.87,2192,2,35.32,0.0,1.002,-0.006
1778049819.6123097,beam,42.28,2194,2,35.32,0.0,1.002,-0.004
1778049819.7299292,beam,42.67,2205,2,34.52,0.0,0.919,-0.706
1778049819.84356,beam,43.04,2209,2,34.52,0.0,0.906,-0.117
1778049819.9436922,beam,43.39,2214,2,34.52,0.0,0.966,0.601
1778049820.050555,beam,43.74,2221,2,34.52,0.0,0.912,-0.502
1778049820.164482,beam,44.12,2230,2,34.52,0.0,0.931,0.168
1778049820.2792633,beam,44.52,2239,2,34.52,0.0,0.964,0.287
1778049820.383733,beam,44.87,2247,2,34.52,0.0,0.931,-0.318
1778049820.500221,beam,45.21,2256,2,34.52,0.0,0.805,-1.081
1778049820.6121132,beam,45.58,2265,2,34.52,0.0,0.927,1.09
1778049820.7315748,beam,45.94,2274,2,34.52,0.0,0.84,-0.731
1778049820.8451684,beam,46.33,2281,2,34.13,0.0,0.949,0.965
1778049820.963781,beam,46.63,2288,2,34.13,0.0,0.705,-2.059
1778049821.0649073,beam,46.98,2297,3,34.52,0.0,0.944,2.364
1778049821.1785839,beam,47.01,2286,3,34.13,0.0,0.079,-7.611
1778049821.283649,beam,47.17,2236,3,33.73,0.0,0.433,3.371
1778049821.3989055,beam,47.32,2172,3,33.73,0.0,0.347,-0.743
1778049821.5121458,beam,47.44,2114,3,33.73,0.0,0.311,-0.326
1778049821.6162004,beam,47.63,2070,3,34.13,0.0,0.505,1.865
1778049821.7283707,beam,47.94,2044,3,33.73,0.0,0.761,2.288
1778049821.8435988,beam,48.25,2030,3,33.33,0.0,0.741,-0.175
1778049821.9484367,beam,48.5,2020,3,33.73,0.0,0.674,-0.644
1778049822.061579,beam,48.75,2020,3,34.13,0.0,0.612,-0.546
1778049822.1662216,beam,48.97,2020,3,33.33,0.0,0.584,-0.267
1778049822.2783568,beam,49.24,2017,3,33.33,0.0,0.666,0.729
1778049822.3787835,beam,49.53,2015,3,33.33,0.0,0.793,1.267
1778049822.479955,beam,49.73,2016,3,33.33,0.0,0.575,-2.152
1778049822.580752,beam,49.92,2016,3,33.33,0.0,0.503,-0.713
1778049822.6808546,beam,50.21,2018,3,33.33,0.0,0.809,3.05
1778049822.795111,beam,50.43,2022,3,34.13,0.0,0.529,-2.449
1778049822.9105117,beam,50.72,2030,3,34.13,0.0,0.696,1.451
1778049823.0202875,beam,50.91,2034,3,34.13,0.0,0.503,-1.764
1778049823.1289947,beam,51.2,2038,3,34.13,0.0,0.731,2.103
1778049823.2301457,beam,51.46,2040,3,34.13,0.0,0.72,-0.114
1778049823.3319936,beam,51.68,2042,3,34.13,0.0,0.59,-1.27
1778049823.4346197,beam,51.86,2044,3,34.13,0.0,0.482,-1.056
1778049823.543743,beam,52.1,2046,3,34.13,0.0,0.614,1.212
