timestamp,car,speed_kmh,rpm,gear,throttle,brake,accel_ms2,jerk
1778050489.1708875,beam,0.0,744,1,0.0,0.0,0.155,102.525
1778050489.303232,beam,0.0,745,1,0.0,0.0,-0.001,-1.173
1778050489.4043326,beam,0.0,744,1,0.0,0.0,-0.0,0.003
1778050489.537399,beam,0.0,744,1,0.0,0.0,0.001,0.007
1778050489.6491466,beam,0.0,744,1,0.0,0.0,-0.001,-0.01
1778050489.7592115,beam,0.0,744,1,0.0,0.0,-0.0,0.006
1778050489.8754632,beam,0.0,737,1,0.0,0.0,0.007,0.058
1778050489.9849403,beam,0.0,742,1,6.75,0.0,-0.004,-0.097
1778050490.089825,beam,0.09,936,1,19.84,0.0,0.247,2.39
1778050490.2035804,beam,0.52,1278,1,38.49,0.0,1.034,6.919
1778050490.3186486,beam,1.44,1609,1,50.0,0.0,2.235,10.44
1778050490.4212449,beam,2.6,1824,1,57.42,0.0,3.12,8.624
1778050490.5341153,beam,4.19,1982,1,65.63,0.0,3.927,7.15
1778050490.636569,beam,5.64,2083,1,72.66,0.0,3.937,0.1
1778050490.7382596,beam,7.29,2156,1,73.44,0.0,4.505,5.578
1778050490.8389454,beam,8.97,2207,1,74.22,0.0,4.613,1.082
1778050490.9494586,beam,10.41,2248,1,75.0,0.0,3.625,-8.947
1778050491.0524325,beam,11.7,2277,1,76.56,0.0,3.49,-1.308
1778050491.1659222,beam,13.17,2303,1,79.3,0.0,3.602,0.986
1778050491.2670064,beam,14.45,2326,1,80.08,0.0,3.496,-1.047
1778050491.3705583,beam,15.76,2347,1,80.86,0.0,3.526,0.285
1778050491.4831965,beam,17.12,2371,1,80.86,0.0,3.365,-1.424
1778050491.585781,beam,18.34,2394,1,82.03,0.0,3.285,-0.783
1778050491.688562,beam,19.44,2418,1,82.03,0.0,2.978,-2.984
1778050491.800017,beam,20.71,2448,1,84.77,0.0,3.161,1.645
1778050491.9155478,beam,22.03,2484,1,86.33,0.0,3.179,0.151
1778050492.0217316,beam,23.19,2520,1,87.89,0.0,3.04,-1.311
1778050492.1383872,beam,24.4,2561,1,87.89,0.0,2.877,-1.398
1778050492.2394698,beam,25.4,2600,1,88.28,0.0,2.754,-1.217
1778050492.350699,beam,26.49,2647,1,89.06,0.0,2.722,-0.282
1778050492.4544904,beam,27.41,2692,1,90.23,0.0,2.456,-2.564
1778050492.5679395,beam,28.35,2741,1,92.58,0.0,2.313,-1.264
1778050492.668186,beam,29.24,2786,1,96.09,0.0,2.45,1.366
1778050492.7825084,beam,30.26,2841,1,100.0,0.0,2.494,0.388
1778050492.884223,beam,31.16,2890,1,100.0,0.0,2.458,-0.35
1778050492.9983268,beam,32.16,2948,1,100.0,0.0,2.424,-0.3
1778050493.098614,beam,33.03,2999,1,100.0,0.0,2.398,-0.259
1778050493.200848,beam,33.9,3054,1,100.0,0.0,2.374,-0.237
1778050493.3145692,beam,34.94,3122,1,100.0,0.0,2.535,1.42
1778050493.4180374,beam,35.81,3183,1,100.0,0.0,2.328,-2.0
1778050493.521942,beam,36.67,3241,1,100.0,0.0,2.299,-0.288
1778050493.6326277,beam,37.58,3302,1,100.0,0.0,2.295,-0.034
1778050493.734379,beam,38.45,3360,1,100.0,0.0,2.37,0.734
1778050493.836439,beam,39.25,3415,1,100.0,0.0,2.19,-1.755
1778050493.9390917,beam,40.13,3472,1,100.0,0.0,2.382,1.868
1778050494.0551379,beam,41.14,3542,1,100.0,0.0,2.415,0.287
1778050494.1678789,beam,42.01,3606,1,100.0,0.0,2.137,-2.474
1778050494.2721014,beam,42.77,3663,1,100.0,0.0,2.036,-0.964
1778050494.3818095,beam,43.61,3722,1,100.0,0.0,2.111,0.683
1778050494.4866343,beam,44.38,3778,1,100.0,0.0,2.046,-0.618
1778050494.5980673,beam,45.25,3836,1,100.0,0.0,2.161,1.03
