timestamp,car,speed_kmh,rpm,gear,throttle,brake,accel_ms2,jerk,label
1778050290.193189,beam,57.46,1817,3,20.63,0.0,0.038,-0.588,normal
1778050561.3525565,beam,73.05,3398,2,78.91,0.0,-2.37,-13.453,racing
1778049934.353048,beam,77.09,2260,3,25.0,0.0,0.058,0.695,normal
1778050071.295217,beam,77.87,2293,3,26.59,0.0,-0.007,-1.388,normal
1778050810.56789,beam,126.46,5458,2,100.0,0.0,0.758,-0.633,racing
1778050027.3791647,beam,87.83,2519,3,24.21,0.0,0.093,0.842,normal
1778050979.10854,beam,107.05,3156,3,58.59,0.0,0.463,-0.91,racing
1778050619.2678535,beam,97.12,2892,3,21.83,0.0,0.477,-4.964,racing
1778049886.5835454,beam,95.39,2727,3,29.76,0.0,0.004,-0.437,normal
1778050212.6625905,beam,64.19,1978,3,23.02,0.0,0.287,-1.395,normal
1778049949.8446617,beam,79.61,2269,3,21.43,0.0,0.294,4.312,normal
1778050064.694658,beam,66.61,2326,3,45.24,0.0,0.67,0.182,normal
1778050561.5670643,beam,73.11,3381,2,79.3,0.0,0.508,8.114,racing
1778050877.4879158,beam,118.31,5133,2,100.0,0.0,0.615,0.042,racing
1778050834.6452155,beam,99.64,3063,3,81.25,0.0,0.573,-0.96,racing
1778050250.870688,beam,53.73,1609,3,14.29,0.0,-0.316,0.704,normal
1778050852.4140882,beam,130.15,3761,3,100.0,0.0,0.001,-2.767,racing
1778049929.215018,beam,77.68,2287,3,26.19,0.0,0.021,0.364,normal
1778049861.9172258,beam,89.45,2581,3,29.76,0.0,0.066,-0.328,normal
1778050914.3158622,beam,122.57,5301,2,100.0,0.0,0.654,0.404,racing
1778050306.3496962,beam,63.42,1505,3,0.0,0.0,-0.678,0.166,normal
1778050887.03232,beam,82.37,2748,3,77.73,0.0,0.09,2.393,racing
1778049884.8996382,beam,95.1,2717,3,30.16,0.0,0.115,1.124,normal
1778050544.5051022,beam,148.69,4150,3,58.99,0.0,0.086,-0.157,racing
1778050719.6591082,beam,124.25,4936,3,60.94,0.0,0.45,0.514,racing
1778049879.983436,beam,94.11,2694,3,30.16,0.0,0.079,0.589,normal
1778050990.699117,beam,81.07,2091,3,0.0,0.0,-0.909,-0.411,racing
1778050721.3746543,beam,126.22,3614,3,62.5,0.0,0.278,-0.806,racing
1778049866.582128,beam,90.63,2612,3,30.16,0.0,0.046,-0.574,normal
1778050187.1468658,beam,57.61,1449,3,2.78,0.0,-0.558,0.92,normal
1778050154.7045069,beam,61.32,1522,3,0.0,0.0,-0.745,-4.43,normal
1778050707.232937,beam,91.54,4073,2,100.0,4.76,0.79,-0.473,racing
1778050318.9481738,beam,0.11,743,1,0.0,27.78,-0.183,1.766,normal
1778050673.3240285,beam,101.22,2989,3,52.34,0.0,0.227,-0.701,racing
1778050702.0857143,beam,76.72,3523,2,100.0,4.76,0.786,-2.52,racing
1778050295.575915,beam,59.28,1887,3,22.62,0.0,0.237,0.675,normal
1778051009.7637146,beam,103.73,4547,2,98.44,0.0,0.998,-0.617,racing
1778050269.6023817,beam,66.79,1876,3,13.49,0.0,0.269,0.201,normal
1778050749.0567214,beam,91.71,4059,2,75.0,0.0,0.942,-0.441,racing
1778050549.21792,beam,148.62,4149,3,58.59,0.0,-0.013,-0.079,racing
1778050609.3603184,beam,102.58,4318,2,0.0,44.05,-2.884,-12.768,racing
1778049936.7982817,beam,77.68,2271,3,25.0,0.0,0.1,0.641,normal
1778050220.892551,beam,78.01,2256,3,23.02,0.0,0.3,-0.506,normal
1778050687.636191,beam,20.62,2055,1,63.28,0.0,1.118,12.016,racing
